"Regulator"	"TargetGene"
"169"	"YKL062W"	"YIL155C"
"170"	"YKL062W"	"YFL014W"
"171"	"YKL062W"	"YCR021C"
"172"	"YKL062W"	"YDR258C"
"173"	"YKL062W"	"YJR094C"
"174"	"YKL062W"	"YER150W"
"175"	"YKL062W"	"YNL194C"
"176"	"YKL062W"	"YLR258W"
"177"	"YKL062W"	"YDR171W"
"178"	"YKL062W"	"YNL036W"
"179"	"YKL062W"	"YIL136W"
"180"	"YKL062W"	"YLR178C"
"181"	"YKL062W"	"YER067W"
"182"	"YKL062W"	"YGR043C"
"183"	"YKL062W"	"YHR087W"
"184"	"YKL062W"	"YNL037C"
"185"	"YKL062W"	"YBR054W"
"186"	"YKL062W"	"YCL064C"
"187"	"YKL062W"	"YGR142W"
"188"	"YKL062W"	"YKL062W"
"189"	"YKL062W"	"YKL071W"
"190"	"YKL062W"	"YNR064C"
"191"	"YKL062W"	"YDR216W"
"192"	"YKL112W"	"YCL064C"
"193"	"YKL112W"	"YHR051W"
"194"	"YKL112W"	"YKL112W"
"195"	"YKL112W"	"YAL054C"
"196"	"YKL112W"	"YMR169C"
"197"	"YKL112W"	"YPL111W"
"198"	"YKL112W"	"YLR438W"
"199"	"YKL112W"	"YIL155C"
"200"	"YKL112W"	"YFL014W"
"201"	"YKL112W"	"YHR216W"
"202"	"YKL112W"	"YOR348C"
"203"	"YKL112W"	"YLL034C"
"204"	"YKL112W"	"YDR523C"
"205"	"YKL112W"	"YGR043C"
"206"	"YKL112W"	"YOL014W"
"207"	"YKL112W"	"YDR361C"
"208"	"YKL112W"	"YLR174W"
"209"	"YKL112W"	"YJL153C"
"210"	"YKL112W"	"YOR206W"
"211"	"YKL112W"	"YNR053C"
"212"	"YKL112W"	"YIL037C"
"213"	"YKL112W"	"YGR183C"
"214"	"YKL112W"	"YLL011W"
"215"	"YKL112W"	"YKR056W"
"216"	"YKL112W"	"YDL170W"
"217"	"YKL112W"	"YBR054W"
"218"	"YKL112W"	"YCR010C"
"219"	"YKL112W"	"YCR021C"
"220"	"YKL112W"	"YDL160C"
"221"	"YKL112W"	"YDR171W"
"222"	"YKL112W"	"YDR380W"
"223"	"YKL112W"	"YDR384C"
"224"	"YKL112W"	"YGL229C"
"225"	"YKL112W"	"YGR142W"
"226"	"YKL112W"	"YHL028W"
"227"	"YKL112W"	"YHR087W"
"228"	"YKL112W"	"YJL063C"
"229"	"YKL112W"	"YKL015W"
"230"	"YKL112W"	"YKR009C"
"231"	"YKL112W"	"YLL033W"
"232"	"YKL112W"	"YLR178C"
"233"	"YKL112W"	"YLR267W"
"234"	"YKL112W"	"YNL036W"
"235"	"YKL112W"	"YNL037C"
"236"	"YKL112W"	"YNR046W"
"237"	"YKL112W"	"YNR064C"
"238"	"YKL112W"	"YOR056C"
"239"	"YKL112W"	"YPL012W"
"240"	"YKL112W"	"YPL036W"
"241"	"YKL112W"	"YBL042C"
"242"	"YKL112W"	"YGL254W"
"243"	"YKL112W"	"YKL040C"
"244"	"YKL112W"	"YMR280C"
"245"	"YKL112W"	"YER158C"
"246"	"YKL112W"	"YDR258C"
"247"	"YKL112W"	"YLR276C"
"248"	"YMR280C"	"YAL054C"
"249"	"YMR280C"	"YCR010C"
"250"	"YMR280C"	"YPL061W"
"251"	"YMR280C"	"YNL270C"
"252"	"YMR280C"	"YDR384C"
"253"	"YMR280C"	"YOR100C"
"254"	"YMR280C"	"YNL037C"
"255"	"YMR280C"	"YLR174W"
"256"	"YMR280C"	"YJL153C"
"257"	"YMR280C"	"YJL063C"
"258"	"YMR280C"	"YOR348C"
"259"	"YMR280C"	"YGL229C"
"260"	"YMR280C"	"YER067W"
"261"	"YMR280C"	"YGR067C"
"262"	"YMR280C"	"YNL194C"
"263"	"YMR280C"	"YBR054W"
"264"	"YMR280C"	"YER150W"
"265"	"YMR280C"	"YFL014W"
"266"	"YMR280C"	"YGR142W"
"267"	"YMR280C"	"YHR136C"
"268"	"YMR280C"	"YJR094C"
"269"	"YMR280C"	"YML123C"
"270"	"YMR280C"	"YMR229C"
"271"	"YMR280C"	"YMR280C"
"272"	"YMR280C"	"YNL036W"
"273"	"YMR280C"	"YNR028W"
"274"	"YMR280C"	"YOL014W"
"275"	"YMR280C"	"YOR388C"
"276"	"YOR032C"	"YCL064C"
"277"	"YOR032C"	"YCR021C"
"278"	"YOR032C"	"YDR171W"
"279"	"YOR032C"	"YDR523C"
"280"	"YOR032C"	"YGR142W"
"281"	"YOR032C"	"YIL037C"
"282"	"YOR032C"	"YJL217W"
"283"	"YOR032C"	"YNL036W"
"284"	"YOR032C"	"YOR032C"
"285"	"YOR032C"	"YOR388C"
"286"	"YOR032C"	"YPR002W"
"287"	"YOR032C"	"YMR193W"
